row Name,Clip Start,Clip End,Accion,Accion: Time,Trifulca,Trifulca: Time,Laburo Interno,Laburo Interno: Time,Tackle,Tackle: Time,Laburo de pie,Laburo de pie: Time,Laburo de piso,Laburo de piso: Time,Pase,Pase: Time,Recuperada,Recuperada: Time,Aire,Aire: Time,Piso,Piso: Time,Penal,Penal: Time,Pelota Perdida,Pelota Perdida: Time,Pie,Pie: Time
Santiago Carreras,98.561,109.612,Kick,106.561,,,,,,,,,,,,,,,,,,,,,,,Bueno,107.327
Juan Martin Gonzalez,104.286,115.317,Tackle,112.286,,,,,+,113.085,,,,,,,,,,,,,,,,,,
Tomas Cubelli,111.766,122.785,Tackle,119.766,,,,,+,120.904,,,,,,,,,,,,,,,,,,
Francisco Gomez Kodela,114.504,125.551,Tackle,122.504,,,,,+,123.167,,,,,,,,,,,,,,,,,,
Tomas Lavanini,125.329,136.378,Pelota Recuperada,133.329,,,,,,,,,,,,,Otro,134.974,,,,,,,,,,
Matias Alemanno,128.524,139.549,Tackle,136.524,,,,,-,137.356,,,,,,,,,,,,,,,,,,
Marcos Kremer,130.073,135.643,Tackle,138.073,,,,,+++,138.959,,,,,,,,,,,,,,,,,,
Marcos Kremer,135.743,141.317,Pelota Recuperada,138.287,,,,,,,,,,,,,Otro,140.053,,,,,,,,,,
Pablo Matera,227.187,235.943,Duelo,235.187,,,,,,,+,235.989,-,236.056,,,,,,,,,,,,,,
Pablo Matera,236.043,242.951,Pelota Perdida,239.934,,,,,,,,,,,,,,,,,,,,,Knock on,241.763,,
Matias Alemanno,331.289,342.320,AEREO-PISO,339.289,,,,,,,,,,,,,,,+,340.026,,,,,,,,
Santiago Carreras,396.090,407.145,Kick,404.090,,,,,,,,,,,,,,,,,,,,,,,Bueno,404.954
Juan Martin Gonzalez,420.575,431.606,AEREO-PISO,428.575,,,,,,,,,,,,,,,+,429.130,,,,,,,,
Pablo Matera,421.668,432.685,Pase,429.668,,,,,,,,,,,Bueno,430.436,,,,,,,,,,,,
Julian Montoya,424.033,435.071,Pase,432.033,,,,,,,,,,,Bueno,432.733,,,,,,,,,,,,
Emiliano Boffelli,425.098,436.116,Duelo,433.098,,,,,,,+++,433.876,+,434.662,,,,,,,,,,,,,,
Francisco Gomez Kodela,426.484,437.521,Trifulca,434.484,+,435.107,,,,,,,,,,,,,,,,,,,,,,
Jeronimo De La Fuente,427.452,438.489,Trifulca,435.452,+,436.286,,,,,,,,,,,,,,,,,,,,,,
Tomas Cubelli,429.108,438.029,Pase,437.108,,,,,,,,,,,Bueno,439.127,,,,,,,,,,,,
Matias Orlando,432.299,443.318,Duelo,440.299,,,,,,,+,441.568,+,442.318,,,,,,,,,,,,,,
Nahuel Tetaz Chaparro,432.606,443.641,Trifulca,440.606,+,441.252,,,,,,,,,,,,,,,,,,,,,,
Julian Montoya,435.353,446.378,Trifulca,443.353,+,443.886,,,,,,,,,,,,,,,,,,,,,,
Tomas Cubelli,438.129,444.701,Pase,444.223,,,,,,,,,,,Bueno,445.089,,,,,,,,,,,,
Juan Martin Gonzalez,439.161,450.190,Trifulca,447.161,+,448.226,,,,,,,,,,,,,,,,,,,,,,
Tomas Lavanini,439.831,450.860,Duelo,447.831,,,,,,,+,448.662,+,449.860,,,,,,,,,,,,,,
Marcos Kremer,440.926,451.988,Trifulca,448.926,+,449.722,,,,,,,,,,,,,,,,,,,,,,
Pablo Matera,443.671,450.635,Duelo,451.671,,,,,,,+++,452.594,+,453.500,,,,,,,,,,,,,,
Santiago Carreras,443.832,454.896,Pase,451.832,,,,,,,,,,,Bueno,452.626,,,,,,,,,,,,
Tomas Cubelli,444.801,452.895,Pase,449.859,,,,,,,,,,,Bueno,450.562,,,,,,,,,,,,
Pablo Matera,450.735,457.722,TRY,454.674,,,,,,,,,,,,,,,,,,,,,,,,
Santiago Cordero,522.434,529.342,AEREO-PISO,530.434,,,,,,,,,,,,,,,+,531.153,,,,,,,,
Juan Martin Gonzalez,526.857,537.891,Trifulca,534.857,+,535.557,,,,,,,,,,,,,,,,,,,,,,
Jeronimo De La Fuente,528.653,539.709,Trifulca,536.653,+,537.504,,,,,,,,,,,,,,,,,,,,,,
Santiago Cordero,529.442,536.316,Pase,533.285,,,,,,,,,,,Bueno,534.021,,,,,,,,,,,,
Pablo Matera,529.443,540.494,Duelo,537.443,,,,,,,+,538.196,+,538.851,,,,,,,,,,,,,,
Tomas Cubelli,533.434,544.489,Pase,541.434,,,,,,,,,,,Bueno,542.300,,,,,,,,,,,,
Santiago Carreras,536.233,547.253,Kick,544.233,,,,,,,,,,,,,,,,,,,,,,,Bueno,545.036
Santiago Carreras,557.260,568.288,Penales,565.260,,,,,,,,,,,,,,,,,,,Offside,566.947,,,,
Pablo Matera,558.584,569.623,Tackle,566.584,,,,,+,567.252,,,,,,,,,,,,,,,,,,
Jeronimo De La Fuente,563.462,574.510,Tackle,571.462,,,,,+,572.161,,,,,,,,,,,,,,,,,,
Julian Montoya,566.632,577.679,Tackle,574.632,,,,,+,575.045,,,,,,,,,,,,,,,,,,
Nahuel Tetaz Chaparro,566.906,577.954,Laburo Interno,574.906,,,+,575.723,,,,,,,,,,,,,,,,,,,,
Santiago Carreras,665.632,676.661,Kick,673.632,,,,,,,,,,,,,,,,,,,,,,,Bueno,674.952
Juan Martin Gonzalez,671.391,682.445,Pelota Recuperada,679.391,,,,,,,,,,,,,Otro,681.445,,,,,,,,,,
Tomas Cubelli,675.965,687.015,Pase,683.965,,,,,,,,,,,Bueno,684.620,,,,,,,,,,,,
Julian Montoya,679.088,690.122,Trifulca,687.088,+,688.988,,,,,,,,,,,,,,,,,,,,,,
Francisco Gomez Kodela,680.726,691.759,Duelo,688.726,,,,,,,+,689.493,+,690.277,,,,,,,,,,,,,,
Tomas Lavanini,681.309,692.372,Trifulca,689.309,-,690.049,,,,,,,,,,,,,,,,,,,,,,
Santiago Cordero,825.290,836.319,AEREO-PISO,833.290,,,,,,,,,,,,,,,+,833.961,,,,,,,,
Tomas Lavanini,829.159,840.193,Trifulca,837.159,+,837.959,,,,,,,,,,,,,,,,,,,,,,
Jeronimo De La Fuente,830.588,841.616,Trifulca,838.588,-,839.221,,,,,,,,,,,,,,,,,,,,,,
Tomas Cubelli,831.629,840.196,Pase,839.629,,,,,,,,,,,Bueno,839.866,,,,,,,,,,,,
Marcos Kremer,834.589,845.625,Duelo,842.589,,,,,,,+,843.424,+,844.304,,,,,,,,,,,,,,
Matias Alemanno,835.799,846.851,Trifulca,843.799,+,844.728,,,,,,,,,,,,,,,,,,,,,,
Tomas Cubelli,840.296,847.314,Pase,845.930,,,,,,,,,,,Bueno,846.658,,,,,,,,,,,,
Francisco Gomez Kodela,840.528,851.605,Duelo,848.528,,,,,,,+,849.531,+,850.448,,,,,,,,,,,,,,
Tomas Lavanini,842.686,853.705,Trifulca,850.686,+,851.354,,,,,,,,,,,,,,,,,,,,,,
Tomas Cubelli,847.414,856.409,Pase,853.383,,,,,,,,,,,Bueno,853.733,,,,,,,,,,,,
Santiago Carreras,847.660,858.697,Kick,855.660,,,,,,,,,,,,,,,,,,,,,,,Bueno,856.027
Matias Orlando,851.687,862.738,Tackle,859.687,,,,,+,860.486,,,,,,,,,,,,,,,,,,
Santiago Carreras,860.425,871.454,Kick,868.425,,,,,,,,,,,,,,,,,,,,,,,Bueno,869.160
Julian Montoya,888.420,899.457,Tackle,896.420,,,,,+,897.088,,,,,,,,,,,,,,,,,,
Marcos Kremer,889.394,898.886,Laburo Interno,897.394,,,+,899.007,,,,,,,,,,,,,,,,,,,,
Marcos Kremer,898.986,908.490,Pelota Recuperada,905.458,,,,,,,,,,,,,Pescada,906.578,,,,,,,,,,
Juan Martin Gonzalez,944.029,949.865,AEREO-PISO,952.029,,,,,,,,,,,,,,,+,952.829,,,,,,,,
Julian Montoya,945.790,954.249,Pase,953.790,,,,,,,,,,,Bueno,954.485,,,,,,,,,,,,
Tomas Cubelli,947.749,956.948,Pase,955.749,,,,,,,,,,,Bueno,956.697,,,,,,,,,,,,
Juan Martin Gonzalez,949.965,955.631,Pase,952.763,,,,,,,,,,,Bueno,953.079,,,,,,,,,,,,
Matias Orlando,951.201,962.254,Duelo,959.201,,,,,,,+,960.078,+,960.989,,,,,,,,,,,,,,
Jeronimo De La Fuente,951.893,962.933,Trifulca,959.893,+,960.612,,,,,,,,,,,,,,,,,,,,,,
Julian Montoya,954.349,964.474,Trifulca,959.742,+,960.018,,,,,,,,,,,,,,,,,,,,,,
Juan Martin Gonzalez,955.731,966.457,Trifulca,963.422,+,964.155,,,,,,,,,,,,,,,,,,,,,,
Tomas Cubelli,957.048,966.264,Duelo,963.211,,,,,,,+++,963.913,+,964.627,,,,,,,,,,,,,,
Francisco Gomez Kodela,957.723,968.772,Pase,965.723,,,,,,,,,,,Bueno,966.424,,,,,,,,,,,,
Tomas Lavanini,1047.167,1058.184,AEREO-PISO,1055.167,,,,,,,,,,,,,,,+,1055.936,,,,,,,,
Juan Martin Gonzalez,1061.617,1072.641,Penales,1069.617,,,,,,,,,,,,,,,,,,,Ruck,1071.641,,,,
Santiago Carreras,1121.430,1132.460,Tackle,1129.430,,,,,-,1130.229,,,,,,,,,,,,,,,,,,
Matias Orlando,1121.826,1132.851,Tackle,1129.826,,,,,-,1130.660,,,,,,,,,,,,,,,,,,
Santiago Carreras,1234.164,1245.193,Kick,1242.164,,,,,,,,,,,,,,,,,,,,,,,Bueno,1242.904
Juan Martin Gonzalez,1241.068,1250.332,Tackle,1249.068,,,,,+++,1249.931,,,,,,,,,,,,,,,,,,
Tomas Lavanini,1244.478,1255.532,Laburo Interno,1252.478,,,+,1253.434,,,,,,,,,,,,,,,,,,,,
Juan Martin Gonzalez,1250.432,1259.695,Tackle,1256.651,,,,,+,1257.293,,,,,,,,,,,,,,,,,,
Tomas Cubelli,1250.493,1261.547,Tackle,1258.493,,,,,+,1259.228,,,,,,,,,,,,,,,,,,
Juan Martin Gonzalez,1307.243,1318.327,AEREO-PISO,1315.243,,,,,,,,,,,,,,,+,1315.930,,,,,,,,
Tomas Cubelli,1308.261,1319.289,Pase,1316.261,,,,,,,,,,,Bueno,1316.961,,,,,,,,,,,,
Santiago Carreras,1310.907,1321.929,Pase,1318.907,,,,,,,,,,,Bueno,1319.625,,,,,,,,,,,,
Marcos Kremer,1312.232,1323.248,Duelo,1320.232,,,,,,,+,1321.127,+,1322.248,,,,,,,,,,,,,,
Francisco Gomez Kodela,1315.223,1326.263,Trifulca,1323.223,+,1323.894,,,,,,,,,,,,,,,,,,,,,,
Jeronimo De La Fuente,1315.664,1326.697,Trifulca,1323.664,-,1324.664,,,,,,,,,,,,,,,,,,,,,,
Santiago Cordero,1414.784,1425.817,AEREO-PISO,1422.784,,,,,,,,,,,,,,,+,1423.636,,,,,,,,
Julian Montoya,1415.930,1426.982,Trifulca,1423.930,+,1424.967,,,,,,,,,,,,,,,,,,,,,,
Jeronimo De La Fuente,1419.359,1430.406,Trifulca,1427.359,+,1428.458,,,,,,,,,,,,,,,,,,,,,,
